datetime,google_trend
1451606400,62
1451692800,60
1451779200,69
1451865600,74
1451952000,65
1452038400,64
1452124800,79
1452211200,80
1452297600,71
1452384000,69
1452470400,75
1452556800,70
1452643200,78
1452729600,70
1452816000,93
1452902400,100
1452988800,86
1453075200,77
1453161600,80
1453248000,90
1453334400,77
1453420800,72
1453507200,72
1453593600,69
1453680000,62
1453766400,65
1453852800,64
1453939200,62
1454025600,65
1454112000,68
1454198400,60
1454284800,61
1454371200,64
1454457600,70
1454544000,69
1454630400,64
1454716800,51
1454803200,57
1454889600,62
1454976000,59
1455062400,71
1455148800,70
1455235200,61
1455321600,61
1455408000,60
1455494400,65
1455580800,77
1455667200,73
1455753600,85
1455840000,69
1455926400,72
1456012800,74
1456099200,70
1456185600,72
1456272000,69
1456358400,69
1456444800,63
1456531200,68
1456617600,57
1456704000,61
1456790400,75
1456876800,68
1456963200,84
1457049600,72
1457136000,74
1457222400,77
1457308800,67
1457395200,70
1457481600,67
1457568000,57
1457654400,66
1457740800,56
1457827200,54
1457913600,78
1458000000,69
1458086400,59
1458172800,62
1458259200,59
1458345600,69
1458432000,57
1458518400,61
1458604800,77
1458691200,65
1458777600,65
1458864000,58
1458950400,57
1459036800,63
1459123200,65
1459209600,69
1459296000,65
1459382400,61
1459468800,58
1459555200,29
1459641600,31
1459728000,28
1459814400,33
1459900800,35
1459987200,32
1460073600,33
1460160000,27
1460246400,29
1460332800,34
1460419200,34
1460505600,32
1460592000,28
1460678400,27
1460764800,27
1460851200,30
1460937600,30
1461024000,29
1461110400,33
1461196800,36
1461283200,36
1461369600,32
1461456000,34
1461542400,36
1461628800,37
1461715200,32
1461801600,39
1461888000,34
1461974400,31
1462060800,29
1462147200,100
1462233600,65
1462320000,44
1462406400,44
1462492800,43
1462579200,33
1462665600,44
1462752000,40
1462838400,43
1462924800,41
1463011200,36
1463097600,34
1463184000,31
1463270400,30
1463356800,35
1463443200,34
1463529600,35
1463616000,36
1463702400,30
1463788800,33
1463875200,32
1463961600,32
1464048000,30
1464134400,30
1464220800,35
1464307200,37
1464393600,44
1464480000,47
1464566400,49
1464652800,49
1464739200,40
1464825600,42
1464912000,46
1464998400,49
1465084800,41
1465171200,48
1465257600,44
1465344000,43
1465430400,42
1465516800,41
1465603200,38
1465689600,58
1465776000,71
1465862400,62
1465948800,56
1466035200,63
1466121600,59
1466208000,55
1466294400,54
1466380800,53
1466467200,61
1466553600,55
1466640000,60
1466726400,84
1466812800,54
1466899200,50
1466985600,48
1467072000,48
1467158400,42
1467244800,46
1467331200,42
1467417600,42
1467504000,44
1467590400,42
1467676800,43
1467763200,49
1467849600,47
1467936000,48
1468022400,58
1468108800,46
1468195200,45
1468281600,41
1468368000,37
1468454400,40
1468540800,37
1468627200,33
1468713600,35
1468800000,37
1468886400,37
1468972800,36
1469059200,36
1469145600,36
1469232000,34
1469318400,33
1469404800,35
1469491200,36
1469577600,40
1469664000,34
1469750400,36
1469836800,33
1469923200,34
1470009600,39
1470096000,44
1470182400,78
1470268800,51
1470355200,41
1470441600,37
1470528000,36
1470614400,38
1470700800,34
1470787200,35
1470873600,34
1470960000,32
1471046400,35
1471132800,33
1471219200,34
1471305600,33
1471392000,39
1471478400,37
1471564800,27
1471651200,34
1471737600,33
1471824000,34
1471910400,34
1471996800,37
1472083200,30
1472169600,38
1472256000,28
1472342400,36
1472428800,35
1472515200,29
1472601600,32
1472688000,34
1472774400,34
1472860800,33
1472947200,35
1473033600,39
1473120000,38
1473206400,36
1473292800,39
1473379200,36
1473465600,32
1473552000,36
1473638400,35
1473724800,38
1473811200,34
1473897600,36
1473984000,36
1474070400,33
1474156800,34
1474243200,31
1474329600,34
1474416000,40
1474502400,38
1474588800,34
1474675200,33
1474761600,30
1474848000,31
1474934400,34
1475020800,33
1475107200,38
1475193600,34
1475280000,32
1475366400,22
1475452800,26
1475539200,27
1475625600,27
1475712000,24
1475798400,27
1475884800,25
1475971200,26
1476057600,28
1476144000,30
1476230400,34
1476316800,29
1476403200,29
1476489600,26
1476576000,26
1476662400,26
1476748800,24
1476835200,28
1476921600,25
1477008000,27
1477094400,26
1477180800,28
1477267200,29
1477353600,32
1477440000,29
1477526400,33
1477612800,36
1477699200,36
1477785600,31
1477872000,32
1477958400,36
1478044800,37
1478131200,36
1478217600,34
1478304000,33
1478390400,34
1478476800,29
1478563200,33
1478649600,46
1478736000,33
1478822400,31
1478908800,34
1478995200,30
1479081600,29
1479168000,34
1479254400,35
1479340800,37
1479427200,36
1479513600,33
1479600000,35
1479686400,32
1479772800,39
1479859200,34
1479945600,36
1480032000,35
1480118400,34
1480204800,32
1480291200,34
1480377600,37
1480464000,34
1480550400,35
1480636800,39
1480723200,32
1480809600,35
1480896000,36
1480982400,35
1481068800,34
1481155200,36
1481241600,30
1481328000,31
1481414400,34
1481500800,35
1481587200,34
1481673600,35
1481760000,34
1481846400,36
