datetime,val
1451606400,54
1451692800,60
1451779200,67
1451865600,64
1451952000,62
1452038400,70
1452124800,83
1452211200,73
1452297600,68
1452384000,73
1452470400,75
1452556800,72
1452643200,73
1452729600,63
1452816000,89
1452902400,100
1452988800,83
1453075200,77
1453161600,74
1453248000,81
1453334400,74
1453420800,74
1453507200,76
1453593600,61
1453680000,70
1453766400,66
1453852800,64
1453939200,69
1454025600,61
1454112000,65
1454198400,62
1454284800,67
1454371200,60
1454457600,59
1454544000,62
1454630400,61
1454716800,55
1454803200,63
1454889600,72
1454976000,68
1455062400,70
1455148800,69
1455235200,59
1455321600,58
1455408000,56
1455494400,74
1455580800,73
1455667200,78
1455753600,79
1455840000,76
1455926400,62
1456012800,74
1456099200,65
1456185600,71
1456272000,65
1456358400,67
1456444800,61
1456531200,66
1456617600,56
1456704000,58
1456790400,70
1456876800,59
1456963200,71
1457049600,69
1457136000,68
1457222400,63
1457308800,60
1457395200,61
1457481600,59
1457568000,66
1457654400,62
1457740800,50
1457827200,58
1457913600,72
1458000000,62
1458086400,62
1458172800,66
1458259200,59
1458345600,57
1458432000,68
1458518400,66
1458604800,62
1458691200,62
1458777600,62
1458864000,52
1458950400,60
1459036800,56
1459123200,67
1459209600,72
1459296000,65
1459382400,69
1459468800,55
1459900800,30
1459987200,33
1460073600,28
1460160000,26
1460246400,30
1460332800,34
1460419200,33
1460505600,32
1460592000,28
1460678400,26
1460764800,26
1460851200,28
1460937600,30
1461024000,28
1461110400,31
1461196800,32
1461283200,33
1461369600,33
1461456000,34
1461542400,35
1461628800,39
1461715200,33
1461801600,35
1461888000,33
1461974400,27
1462060800,27
1462147200,100
1462233600,67
1462320000,38
1462406400,46
1462492800,41
1462579200,40
1462665600,39
1462752000,37
1462838400,39
1462924800,36
1463011200,36
1463097600,33
1463184000,27
1463270400,32
1463356800,33
1463443200,35
1463529600,36
1463616000,37
1463702400,31
1463788800,30
1463875200,31
1463961600,34
1464048000,30
1464134400,32
1464220800,33
1464307200,36
1464393600,41
1464480000,43
1464566400,45
1464652800,46
1464739200,42
1464825600,39
1464912000,38
1464998400,45
1465084800,38
1465171200,43
1465257600,39
1465344000,40
1465430400,36
1465516800,41
1465603200,39
1465689600,58
1465776000,64
1465862400,63
1465948800,49
1466035200,61
1466121600,59
1466208000,56
